machine,employee,tag,serial,mac,location
WOOXEOW1550L,Chloette Le Blond,60662164997,842CV19LKD,00-0C-2A-83-B7-C1,Buštěhrad
ZVBXJCM3546Z,Arty Johannesson,82494200565,477FG81OPU,D1-87-A6-4A-45-52,Olenegorsk
ONTUNBN7276W,Marabel Deval,55035554955,289DW36CRA,0F-ED-AB-67-ED-8A,Zlatoust
BEUVRHJ7178M,Johannah Polglaze,87150838700,810ZF69NSD,FD-2E-7F-A0-D5-1C,Athy
GDROQDM5327F,Cathy Salthouse,01170900285,761EP07ZAC,E8-8E-13-09-BC-A0,Aurora
FEAJGFR5197Q,Bridget Dionsetti,48129312140,130TH19WBL,D2-E9-09-67-48-D8,Arauco
GJNMYYV6744P,Engelbert Cudworth,45380917239,214FI29XCX,B1-0B-30-E3-98-64,Maliuzui
MRAOFXE0164I,Justina Sunnucks,99752814458,474CB72EWZ,28-A8-F7-34-3B-87,Seymchan
ZEBWIAB2940L,Rachele Dunbabin,01623336868,782WW22NXY,57-7C-76-B6-C8-54,Maddela
PRWCMYV7598H,Valdemar Jimmes,77405739376,908ZX35YDV,B9-25-F6-11-17-17,Vinha
RHXVJCL8454R,Templeton Major,76670372412,237NN97EZF,12-14-A1-ED-7E-7F,Oullins
HPRHEPI6832Q,Reine Cadge,29513904933,846WV86TAY,F2-5C-40-37-EE-EF,Nueva Loja
XIGNARJ1153D,Berkeley Santhouse,30845330505,421NG65BYX,CD-3E-7C-F8-F3-B9,Polzela
AJLJVBQ1964C,Carey Jackalin,82901316855,547HP99EWW,0A-32-51-8A-0D-31,Dikson
EZJSUEF3828T,Garrek Seakes,61526822323,978WS81GKY,A0-5E-FF-B5-30-A6,Üydzen
WBDGRWN0074M,Kincaid Glowacki,59700479653,509VY58KZM,27-FE-AF-EB-BE-EB,Linhares
ILTGMTB3328A,Hamilton Sowerbutts,34262530581,416NJ59RCK,08-4A-9B-F3-D6-4D,Islamey
KLPRQBV4324V,Sofie McConachie,93681468767,091YV46VBX,2B-70-18-91-95-E4,Cilebang Satu
